"date","from","to","action_team","notes","edge_label"
"2015-07-09","2017 pick (#3-Jayson Tatum)","rights to Luka Mitrovic","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for 2017 pick (#3-Jayson Tatum), and in exhchange give rights to Luka Mitrovic to them."
"2015-07-09","2017 pick (#3-Jayson Tatum)","2017 pick (#5-De'Aaron Fox)","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for 2017 pick (#3-Jayson Tatum), and in exhchange give 2017 pick (#5-De'Aaron Fox) to them."
"2015-07-09","Tiago Splitter","rights to Giorgos Printezis","Hawks","trade with Spurs","On 2015-07-09, Hawks make trade with Spurs for Tiago Splitter, and in exhchange give rights to Giorgos Printezis to them."
"2015-07-09","2016 pick (#59-Isaiah Cousins)","Ray McCallum Jr.","Kings","trade with Spurs","On 2015-07-09, Kings make trade with Spurs for 2016 pick (#59-Isaiah Cousins), and in exhchange give Ray McCallum Jr. to them."
"2015-07-09","Kyle O'Quinn","cash","Knicks","trade with Magic","On 2015-07-09, Knicks make trade with Magic for Kyle O'Quinn, and in exhchange give cash to them."
"2015-07-11","Chase Budinger","Damjan Rudez","Pacers","trade with Timberwoves","On 2015-07-11, Pacers make trade with Timberwoves for Chase Budinger, and in exhchange give Damjan Rudez to them."
"2015-07-13","Quincy Miller","Steve Blake","Nets","trade with Pistons","On 2015-07-13, Nets make trade with Pistons for Quincy Miller, and in exhchange give Steve Blake to them."
"2015-07-14","Perry Jones III","2018 pick (#57-Kevin Hervey)","Celtics","trade with Thunder","On 2015-07-14, Celtics make trade with Thunder for Perry Jones III, and in exhchange give 2018 pick (#57-Kevin Hervey) to them."
"2015-07-14","cash","2018 pick (#57-Kevin Hervey)","Celtics","trade with Thunder","On 2015-07-14, Celtics make trade with Thunder for cash, and in exhchange give 2018 pick (#57-Kevin Hervey) to them."
"2015-07-20","Nick Johnson","Ty Lawson","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for Nick Johnson, and in exhchange give Ty Lawson to them."
"2015-07-20","Nick Johnson","2017 pick (#43-Isaiah Hartenstein)","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for Nick Johnson, and in exhchange give 2017 pick (#43-Isaiah Hartenstein) to them."
"2015-07-20","Kostas Papanikolaou","Ty Lawson","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for Kostas Papanikolaou, and in exhchange give Ty Lawson to them."
"2015-07-20","Kostas Papanikolaou","2017 pick (#43-Isaiah Hartenstein)","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for Kostas Papanikolaou, and in exhchange give 2017 pick (#43-Isaiah Hartenstein) to them."
"2015-07-20","Pablo Prigioni","Ty Lawson","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for Pablo Prigioni, and in exhchange give Ty Lawson to them."
"2015-07-20","Pablo Prigioni","2017 pick (#43-Isaiah Hartenstein)","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for Pablo Prigioni, and in exhchange give 2017 pick (#43-Isaiah Hartenstein) to them."
"2015-07-20","Joey Dorsey","Ty Lawson","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for Joey Dorsey, and in exhchange give Ty Lawson to them."
"2015-07-20","Joey Dorsey","2017 pick (#43-Isaiah Hartenstein)","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for Joey Dorsey, and in exhchange give 2017 pick (#43-Isaiah Hartenstein) to them."
"2015-07-20","2016 pick (#15-Juancho Hernangomez / Juan Hernangomez)","Ty Lawson","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for 2016 pick (#15-Juancho Hernangomez / Juan Hernangomez), and in exhchange give Ty Lawson to them."
"2015-07-20","2016 pick (#15-Juancho Hernangomez / Juan Hernangomez)","2017 pick (#43-Isaiah Hartenstein)","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for 2016 pick (#15-Juancho Hernangomez / Juan Hernangomez), and in exhchange give 2017 pick (#43-Isaiah Hartenstein) to them."
"2015-07-20","cash","Ty Lawson","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for cash, and in exhchange give Ty Lawson to them."
"2015-07-20","cash","2017 pick (#43-Isaiah Hartenstein)","Nuggets","trade with Rockets","On 2015-07-20, Nuggets make trade with Rockets for cash, and in exhchange give 2017 pick (#43-Isaiah Hartenstein) to them."
"2015-07-27","Brendan Haywood","cash","Blazers","trade with Cavaliers","On 2015-07-27, Blazers make trade with Cavaliers for Brendan Haywood, and in exhchange give cash to them."
"2015-07-27","Mike Miller","cash","Blazers","trade with Cavaliers","On 2015-07-27, Blazers make trade with Cavaliers for Mike Miller, and in exhchange give cash to them."
"2015-07-27","David Lee","Gerald Wallace","Celtics","trade with Warriors","On 2015-07-27, Celtics make trade with Warriors for David Lee, and in exhchange give Gerald Wallace to them."
"2015-07-27","David Lee","Chris Babb","Celtics","trade with Warriors","On 2015-07-27, Celtics make trade with Warriors for David Lee, and in exhchange give Chris Babb to them."
"2015-07-31","Gerald Wallace","Jason Thompson","76ers","trade with Warriors","On 2015-07-31, 76ers make trade with Warriors for Gerald Wallace, and in exhchange give Jason Thompson to them."
"2015-07-31","cash","Jason Thompson","76ers","trade with Warriors","On 2015-07-31, 76ers make trade with Warriors for cash, and in exhchange give Jason Thompson to them."
"2015-11-10","Mario Chalmers","Beno Udrih","Grizzlies","trade with Heat","On 2015-11-10, Grizzlies make trade with Heat for Mario Chalmers, and in exhchange give Beno Udrih to them."
"2015-11-10","Mario Chalmers","Jarnell Stokes","Grizzlies","trade with Heat","On 2015-11-10, Grizzlies make trade with Heat for Mario Chalmers, and in exhchange give Jarnell Stokes to them."
"2015-11-10","James Ennis","Beno Udrih","Grizzlies","trade with Heat","On 2015-11-10, Grizzlies make trade with Heat for James Ennis, and in exhchange give Beno Udrih to them."
"2015-11-10","James Ennis","Jarnell Stokes","Grizzlies","trade with Heat","On 2015-11-10, Grizzlies make trade with Heat for James Ennis, and in exhchange give Jarnell Stokes to them."
"2015-12-24","Ishmael Smith / Ish Smith","2016 pick (#39-David Michineau)","76ers","trade with Pelicans","On 2015-12-24, 76ers make trade with Pelicans for Ishmael Smith / Ish Smith, and in exhchange give 2016 pick (#39-David Michineau) to them."
"2015-12-24","Ishmael Smith / Ish Smith","2017 pick (#34-Frank Mason)","76ers","trade with Pelicans","On 2015-12-24, 76ers make trade with Pelicans for Ishmael Smith / Ish Smith, and in exhchange give 2017 pick (#34-Frank Mason) to them."
"2016-01-22","rights to Maarty Leunen","Josh Smith","Clippers","trade with Rockets","On 2016-01-22, Clippers make trade with Rockets for rights to Maarty Leunen, and in exhchange give Josh Smith to them."
"2016-01-22","rights to Maarty Leunen","rights to Sergei Lishouk / Sergei Lishchuk","Clippers","trade with Rockets","On 2016-01-22, Clippers make trade with Rockets for rights to Maarty Leunen, and in exhchange give rights to Sergei Lishouk / Sergei Lishchuk to them."
"2016-01-22","rights to Maarty Leunen","cash","Clippers","trade with Rockets","On 2016-01-22, Clippers make trade with Rockets for rights to Maarty Leunen, and in exhchange give cash to them."
"2016-02-11","Kris Humphries","Markieff Morris","Suns","trade with Wizards","On 2016-02-11, Suns make trade with Wizards for Kris Humphries, and in exhchange give Markieff Morris to them."
"2016-02-11","DeJuan Blair","Markieff Morris","Suns","trade with Wizards","On 2016-02-11, Suns make trade with Wizards for DeJuan Blair, and in exhchange give Markieff Morris to them."
"2016-02-11","2016 pick (#13-Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis)","Markieff Morris","Suns","trade with Wizards","On 2016-02-11, Suns make trade with Wizards for 2016 pick (#13-Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis), and in exhchange give Markieff Morris to them."
"2016-02-16","P.J. Hairston","Courtney Lee","Grizzlies","3-team trade with Heat, Hornets","On 2016-02-16, Grizzlies make 3-team trade with Heat, Hornets for P.J. Hairston, and in exhchange give Courtney Lee to them."
"2016-02-16","P.J. Hairston","cash","Grizzlies","3-team trade with Heat, Hornets","On 2016-02-16, Grizzlies make 3-team trade with Heat, Hornets for P.J. Hairston, and in exhchange give cash to them."
"2016-02-16","Chris Andersen","Courtney Lee","Grizzlies","3-team trade with Heat, Hornets","On 2016-02-16, Grizzlies make 3-team trade with Heat, Hornets for Chris Andersen, and in exhchange give Courtney Lee to them."
"2016-02-16","Chris Andersen","cash","Grizzlies","3-team trade with Heat, Hornets","On 2016-02-16, Grizzlies make 3-team trade with Heat, Hornets for Chris Andersen, and in exhchange give cash to them."
"2016-02-16","2018 pick (#41-Jarred Vanderbilt)","Courtney Lee","Grizzlies","3-team trade with Heat, Hornets","On 2016-02-16, Grizzlies make 3-team trade with Heat, Hornets for 2018 pick (#41-Jarred Vanderbilt), and in exhchange give Courtney Lee to them."
"2016-02-16","2018 pick (#41-Jarred Vanderbilt)","cash","Grizzlies","3-team trade with Heat, Hornets","On 2016-02-16, Grizzlies make 3-team trade with Heat, Hornets for 2018 pick (#41-Jarred Vanderbilt), and in exhchange give cash to them."
"2016-02-16","Brian Roberts","Chris Andersen","Heat","3-team trade with Grizzlies, Hornets","On 2016-02-16, Heat make 3-team trade with Grizzlies, Hornets for Brian Roberts, and in exhchange give Chris Andersen to them."
"2016-02-16","Courtney Lee","Brian Roberts","Hornets","3-team trade with Grizzlies, Heat","On 2016-02-16, Hornets make 3-team trade with Grizzlies, Heat for Courtney Lee, and in exhchange give Brian Roberts to them."
"2016-02-16","cash","Brian Roberts","Hornets","3-team trade with Grizzlies, Heat","On 2016-02-16, Hornets make 3-team trade with Grizzlies, Heat for cash, and in exhchange give Brian Roberts to them."
"2016-02-16","Brandon Jennings","Tobias Harris","Magic","trade with Pistons","On 2016-02-16, Magic make trade with Pistons for Brandon Jennings, and in exhchange give Tobias Harris to them."
"2016-02-16","Ersan Ilyasova","Tobias Harris","Magic","trade with Pistons","On 2016-02-16, Magic make trade with Pistons for Ersan Ilyasova, and in exhchange give Tobias Harris to them."
"2016-02-18","Channing Frye","Jared Cunningham","Cavaliers","trade with Magic","On 2016-02-18, Cavaliers make trade with Magic for Channing Frye, and in exhchange give Jared Cunningham to them."
"2016-02-18","Justin Holiday","Kirk Hinrich","Bulls","3-team trade with Jazz, Hawks","On 2016-02-18, Bulls make 3-team trade with Jazz, Hawks for Justin Holiday, and in exhchange give Kirk Hinrich to them."
"2016-02-18","2018 pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)","Kirk Hinrich","Bulls","3-team trade with Jazz, Hawks","On 2016-02-18, Bulls make 3-team trade with Jazz, Hawks for 2018 pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk), and in exhchange give Kirk Hinrich to them."
"2016-02-18","Kirk Hinrich","Shelvin Mack","Hawks","3-team trade with Bulls, Jazz","On 2016-02-18, Hawks make 3-team trade with Bulls, Jazz for Kirk Hinrich, and in exhchange give Shelvin Mack to them."
"2016-02-18","Shelvin Mack","2018 pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)","Jazz","3-team trade with Bulls, Hawks","On 2016-02-18, Jazz make 3-team trade with Bulls, Hawks for Shelvin Mack, and in exhchange give 2018 pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk) to them."
"2016-02-18","2018 pick (#51-Tony Carr)","Jarnell Stokes","Heat","trade with Pelicans","On 2016-02-18, Heat make trade with Pelicans for 2018 pick (#51-Tony Carr), and in exhchange give Jarnell Stokes to them."
"2016-02-18","2018 pick (#51-Tony Carr)","cash","Heat","trade with Pelicans","On 2016-02-18, Heat make trade with Pelicans for 2018 pick (#51-Tony Carr), and in exhchange give cash to them."
"2016-02-18","D.J. Augustine","Randy Foye","Nuggets","trade with Thunder","On 2016-02-18, Nuggets make trade with Thunder for D.J. Augustine, and in exhchange give Randy Foye to them."
"2016-02-18","Steve Novak","Randy Foye","Nuggets","trade with Thunder","On 2016-02-18, Nuggets make trade with Thunder for Steve Novak, and in exhchange give Randy Foye to them."
"2016-02-18","2016 pick (#56-Daniel Hamilton)","Randy Foye","Nuggets","trade with Thunder","On 2016-02-18, Nuggets make trade with Thunder for 2016 pick (#56-Daniel Hamilton), and in exhchange give Randy Foye to them."
"2016-02-18","cash","Randy Foye","Nuggets","trade with Thunder","On 2016-02-18, Nuggets make trade with Thunder for cash, and in exhchange give Randy Foye to them."
"2016-02-18","Jeff Green","Lance Stephenson","Clippers","trade with Grizzlies","On 2016-02-18, Clippers make trade with Grizzlies for Jeff Green, and in exhchange give Lance Stephenson to them."
"2016-02-18","Donatas Motiejunas","Joel Anthony","Pistons","trade with Rockets (trade later voided)","On 2016-02-18, Pistons make trade with Rockets (trade later voided) for Donatas Motiejunas, and in exhchange give Joel Anthony to them."
"2016-02-18","Marcus Thornton (T.)","Joel Anthony","Pistons","trade with Rockets (trade later voided)","On 2016-02-18, Pistons make trade with Rockets (trade later voided) for Marcus Thornton (T.), and in exhchange give Joel Anthony to them."
"2016-02-18","Joel Anthony","rights to Chukwudiebere Maduabum / Chu Chu Maduabum","76ers","trade with Rockets (trade later voided)","On 2016-02-18, 76ers make trade with Rockets (trade later voided) for Joel Anthony, and in exhchange give rights to Chukwudiebere Maduabum / Chu Chu Maduabum to them."
"2016-06-17","Spencer Dinwiddie","Cameron Bairstow","Bulls","trade with Pistons","On 2016-06-17, Bulls make trade with Pistons for Spencer Dinwiddie, and in exhchange give Cameron Bairstow to them."
"2016-06-22","Robin Lopez","Derrick Rose","Bulls","trade with Knicks","On 2016-06-22, Bulls make trade with Knicks for Robin Lopez, and in exhchange give Derrick Rose to them."
"2016-06-22","Robin Lopez","Justin Holiday","Bulls","trade with Knicks","On 2016-06-22, Bulls make trade with Knicks for Robin Lopez, and in exhchange give Justin Holiday to them."
"2016-06-22","Robin Lopez","2017 pick (#44-Damyean Dotson)","Bulls","trade with Knicks","On 2016-06-22, Bulls make trade with Knicks for Robin Lopez, and in exhchange give 2017 pick (#44-Damyean Dotson) to them."
"2016-06-22","Jerian Grant","Derrick Rose","Bulls","trade with Knicks","On 2016-06-22, Bulls make trade with Knicks for Jerian Grant, and in exhchange give Derrick Rose to them."
"2016-06-22","Jerian Grant","Justin Holiday","Bulls","trade with Knicks","On 2016-06-22, Bulls make trade with Knicks for Jerian Grant, and in exhchange give Justin Holiday to them."
"2016-06-22","Jerian Grant","2017 pick (#44-Damyean Dotson)","Bulls","trade with Knicks","On 2016-06-22, Bulls make trade with Knicks for Jerian Grant, and in exhchange give 2017 pick (#44-Damyean Dotson) to them."
"2016-06-22","Jose Calderon","Derrick Rose","Bulls","trade with Knicks","On 2016-06-22, Bulls make trade with Knicks for Jose Calderon, and in exhchange give Derrick Rose to them."
"2016-06-22","Jose Calderon","Justin Holiday","Bulls","trade with Knicks","On 2016-06-22, Bulls make trade with Knicks for Jose Calderon, and in exhchange give Justin Holiday to them."
"2016-06-22","Jose Calderon","2017 pick (#44-Damyean Dotson)","Bulls","trade with Knicks","On 2016-06-22, Bulls make trade with Knicks for Jose Calderon, and in exhchange give 2017 pick (#44-Damyean Dotson) to them."
"2016-06-23","rights to Jake Layman","cash","Blazers","trade with Magic","On 2016-06-23, Blazers make trade with Magic for rights to Jake Layman, and in exhchange give cash to them."
"2016-06-23","cash","rights to Patrick McCaw","Bucks","trade with Warriors","On 2016-06-23, Bucks make trade with Warriors for cash, and in exhchange give rights to Patrick McCaw to them."
"2016-06-23","rights to David Michineau","rights to Cheick Diallo","Clippers","trade with Pelicans","On 2016-06-23, Clippers make trade with Pelicans for rights to David Michineau, and in exhchange give rights to Cheick Diallo to them."
"2016-06-23","rights to Diamond Stone","rights to Cheick Diallo","Clippers","trade with Pelicans","On 2016-06-23, Clippers make trade with Pelicans for rights to Diamond Stone, and in exhchange give rights to Cheick Diallo to them."
"2016-06-23","rights to Marcus Paige","rights to Isaiah Whitehead","Jazz","trade with Nets","On 2016-06-23, Jazz make trade with Nets for rights to Marcus Paige, and in exhchange give rights to Isaiah Whitehead to them."
"2016-06-23","cash","rights to Isaiah Whitehead","Jazz","trade with Nets","On 2016-06-23, Jazz make trade with Nets for cash, and in exhchange give rights to Isaiah Whitehead to them."
"2016-06-23","rights to Bogdan Bogdanovic","rights to Marquese Chriss","Kings","trade with Suns","On 2016-06-23, Kings make trade with Suns for rights to Bogdan Bogdanovic, and in exhchange give rights to Marquese Chriss to them."
"2016-06-23","rights to Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis","rights to Marquese Chriss","Kings","trade with Suns","On 2016-06-23, Kings make trade with Suns for rights to Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis, and in exhchange give rights to Marquese Chriss to them."
"2016-06-23","rights to Skal Labissiere","rights to Marquese Chriss","Kings","trade with Suns","On 2016-06-23, Kings make trade with Suns for rights to Skal Labissiere, and in exhchange give rights to Marquese Chriss to them."
"2016-06-23","Serge Ibaka","Victor Oladipo","Magic","trade with Thunder","On 2016-06-23, Magic make trade with Thunder for Serge Ibaka, and in exhchange give Victor Oladipo to them."
"2016-06-23","Serge Ibaka","Ersan Ilyasova","Magic","trade with Thunder","On 2016-06-23, Magic make trade with Thunder for Serge Ibaka, and in exhchange give Ersan Ilyasova to them."
"2016-06-23","Serge Ibaka","rights to Domantas Sabonis / Domas Sabonis","Magic","trade with Thunder","On 2016-06-23, Magic make trade with Thunder for Serge Ibaka, and in exhchange give rights to Domantas Sabonis / Domas Sabonis to them."
"2016-06-23","cash","rights to Daniel Hamilton","Nuggets","trade with Thunder","On 2016-06-23, Nuggets make trade with Thunder for cash, and in exhchange give rights to Daniel Hamilton to them."
"2016-06-24","rights to Kahlil Felder / Kay Felder","cash","Cavaliers","trade with Hawks","On 2016-06-24, Cavaliers make trade with Hawks for rights to Kahlil Felder / Kay Felder, and in exhchange give cash to them."
"2016-07-07","Shabazz Napier","cash","Blazers","trade with Magic","On 2016-07-07, Blazers make trade with Magic for Shabazz Napier, and in exhchange give cash to them."
"2016-07-07","rights to Ater Majok","Jose Calderon","Bulls","trade with Lakers","On 2016-07-07, Bulls make trade with Lakers for rights to Ater Majok, and in exhchange give Jose Calderon to them."
"2016-07-07","rights to Ater Majok","2018 pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)","Bulls","trade with Lakers","On 2016-07-07, Bulls make trade with Lakers for rights to Ater Majok, and in exhchange give 2018 pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk) to them."
"2016-07-07","rights to Taurean Prince","Jeff Teague","Hawks","3-team trade with Jazz, Pacers","On 2016-07-07, Hawks make 3-team trade with Jazz, Pacers for rights to Taurean Prince, and in exhchange give Jeff Teague to them."
"2016-07-07","traded player exception","Jeff Teague","Hawks","3-team trade with Jazz, Pacers","On 2016-07-07, Hawks make 3-team trade with Jazz, Pacers for traded player exception, and in exhchange give Jeff Teague to them."
"2016-07-07","Marco Belinelli","rights to Malachi Richardson","Hornets","trade with Kings","On 2016-07-07, Hornets make trade with Kings for Marco Belinelli, and in exhchange give rights to Malachi Richardson to them."
"2016-07-07","Boris Diaw","rights to Olivier Hanlan","Jazz","trade with Spurs","On 2016-07-07, Jazz make trade with Spurs for Boris Diaw, and in exhchange give rights to Olivier Hanlan to them."
"2016-07-07","Boris Diaw","traded player exception","Jazz","trade with Spurs","On 2016-07-07, Jazz make trade with Spurs for Boris Diaw, and in exhchange give traded player exception to them."
"2016-07-07","cash","rights to Olivier Hanlan","Jazz","trade with Spurs","On 2016-07-07, Jazz make trade with Spurs for cash, and in exhchange give rights to Olivier Hanlan to them."
"2016-07-07","cash","traded player exception","Jazz","trade with Spurs","On 2016-07-07, Jazz make trade with Spurs for cash, and in exhchange give traded player exception to them."
"2016-07-07","George Hill","rights to Taurean Prince","Jazz","3-team trade with Hawks, Pacers","On 2016-07-07, Jazz make 3-team trade with Hawks, Pacers for George Hill, and in exhchange give rights to Taurean Prince to them."
"2016-07-07","Andrew Bogut","traded player exception","Mavericks","trade with Warriors","On 2016-07-07, Mavericks make trade with Warriors for Andrew Bogut, and in exhchange give traded player exception to them."
"2016-07-07","rights to Stanko Barac","Jeremy Evans","Mavericks","trade with Pacers","On 2016-07-07, Mavericks make trade with Pacers for rights to Stanko Barac, and in exhchange give Jeremy Evans to them."
"2016-07-07","rights to Stanko Barac","rights to Emir Preldzic","Mavericks","trade with Pacers","On 2016-07-07, Mavericks make trade with Pacers for rights to Stanko Barac, and in exhchange give rights to Emir Preldzic to them."
"2016-07-07","rights to Stanko Barac","cash","Mavericks","trade with Pacers","On 2016-07-07, Mavericks make trade with Pacers for rights to Stanko Barac, and in exhchange give cash to them."
"2016-07-07","rights to Caris LeVert","Thaddeus Young","Nets","trade with Pacers","On 2016-07-07, Nets make trade with Pacers for rights to Caris LeVert, and in exhchange give Thaddeus Young to them."
"2016-07-07","Jeff Teague","George Hill","Pacers","3-team trade with Hawks, Jazz","On 2016-07-07, Pacers make 3-team trade with Hawks, Jazz for Jeff Teague, and in exhchange give George Hill to them."
"2016-07-07","Matthew Dellavedova / Matt Dellavedova","rights to Albert Miralles","Bucks","trade with Cavaliers","On 2016-07-07, Bucks make trade with Cavaliers for Matthew Dellavedova / Matt Dellavedova, and in exhchange give rights to Albert Miralles to them."
"2016-07-07","rights to Albert Miralles","Mike Dunleavy Jr.","Bulls","trade with Cavaliers","On 2016-07-07, Bulls make trade with Cavaliers for rights to Albert Miralles, and in exhchange give Mike Dunleavy Jr. to them."
"2016-07-07","rights to Albert Miralles","rights to Vladimir Veremeenko","Bulls","trade with Cavaliers","On 2016-07-07, Bulls make trade with Cavaliers for rights to Albert Miralles, and in exhchange give rights to Vladimir Veremeenko to them."
"2016-07-10","Luke Babbitt","2018 pick (#51-Tony Carr)","Heat","trade with Pelicans","On 2016-07-10, Heat make trade with Pelicans for Luke Babbitt, and in exhchange give 2018 pick (#51-Tony Carr) to them."
"2016-07-10","Luke Babbitt","cash","Heat","trade with Pelicans","On 2016-07-10, Heat make trade with Pelicans for Luke Babbitt, and in exhchange give cash to them."
"2016-07-12","Troy Daniels","cash","Grizzlies","trade with Hornets","On 2016-07-12, Grizzlies make trade with Hornets for Troy Daniels, and in exhchange give cash to them."
"2016-07-12","Troy Daniels","traded player exception","Grizzlies","trade with Hornets","On 2016-07-12, Grizzlies make trade with Hornets for Troy Daniels, and in exhchange give traded player exception to them."
"2016-07-15","Sasha Kaun","rights to Chukwudiebere Maduabum / Chu Chu Maduabum","76ers","trade with Cavaliers","On 2016-07-15, 76ers make trade with Cavaliers for Sasha Kaun, and in exhchange give rights to Chukwudiebere Maduabum / Chu Chu Maduabum to them."
"2016-07-15","cash","rights to Chukwudiebere Maduabum / Chu Chu Maduabum","76ers","trade with Cavaliers","On 2016-07-15, 76ers make trade with Cavaliers for cash, and in exhchange give rights to Chukwudiebere Maduabum / Chu Chu Maduabum to them."
"2016-07-15","Roy Devyn Marble / Roy Marble (Devyn)","C.J. Wilcox","Clippers","trade with Magic","On 2016-07-15, Clippers make trade with Magic for Roy Devyn Marble / Roy Marble (Devyn), and in exhchange give C.J. Wilcox to them."
"2016-07-15","Roy Devyn Marble / Roy Marble (Devyn)","cash","Clippers","trade with Magic","On 2016-07-15, Clippers make trade with Magic for Roy Devyn Marble / Roy Marble (Devyn), and in exhchange give cash to them."
"2016-08-26","Tibor Pleiss","Kendall Marshall","76ers","trade with Jazz","On 2016-08-26, 76ers make trade with Jazz for Tibor Pleiss, and in exhchange give Kendall Marshall to them."
"2016-08-26","2017 pick (#36-Jonah Bolden)","Kendall Marshall","76ers","trade with Jazz","On 2016-08-26, 76ers make trade with Jazz for 2017 pick (#36-Jonah Bolden), and in exhchange give Kendall Marshall to them."
"2016-08-26","2017 pick (#60-Alpha Kaba)","Kendall Marshall","76ers","trade with Jazz","On 2016-08-26, 76ers make trade with Jazz for 2017 pick (#60-Alpha Kaba), and in exhchange give Kendall Marshall to them."
"2016-09-22","Michael Beasley","Tyler Ennis","Bucks","trade with Rockets","On 2016-09-22, Bucks make trade with Rockets for Michael Beasley, and in exhchange give Tyler Ennis to them."
"2016-10-17","Tony Snell","Michael Carter-Williams","Bucks","trade with Bulls","On 2016-10-17, Bucks make trade with Bulls for Tony Snell, and in exhchange give Michael Carter-Williams to them."
"2016-11-01","Ersan Ilyasova","Jerami Grant","76ers","trade with Thunder","On 2016-11-01, 76ers make trade with Thunder for Ersan Ilyasova, and in exhchange give Jerami Grant to them."
"2017-01-06","2017 pick (#26-Caleb Swanigan)","2018 pick (#25-Moritz Wagner / Moe Wagner)","Blazers","trade with Cavaliers","On 2017-01-06, Blazers make trade with Cavaliers for 2017 pick (#26-Caleb Swanigan), and in exhchange give 2018 pick (#25-Moritz Wagner / Moe Wagner) to them."
