"date","from","to","action_team","notes","edge_label"
"2017-07-13","DeMarre Carroll","Justin Hamilton (b)","Nets","trade with Raptors","On 2017-07-13, Nets make trade with Raptors for DeMarre Carroll, and in exhchange give Justin Hamilton (b) to them."
"2017-07-13","2018 pick (#40-Rodions Kurucs)","Justin Hamilton (b)","Nets","trade with Raptors","On 2017-07-13, Nets make trade with Raptors for 2018 pick (#40-Rodions Kurucs), and in exhchange give Justin Hamilton (b) to them."
"2017-07-14","Cory Joseph","rights to Emir Preldzic","Pacers","trade with Raptors","On 2017-07-14, Pacers make trade with Raptors for Cory Joseph, and in exhchange give rights to Emir Preldzic to them."
"2017-07-25","Andrew Nicholson","Allen Crabbe","Blazers","trade with Nets","On 2017-07-25, Blazers make trade with Nets for Andrew Nicholson, and in exhchange give Allen Crabbe to them."
"2017-08-22","Isaiah Thomas","Kyrie Irving","Cavaliers","trade with Celtics","On 2017-08-22, Cavaliers make trade with Celtics for Isaiah Thomas, and in exhchange give Kyrie Irving to them."
"2017-08-22","Jae Crowder","Kyrie Irving","Cavaliers","trade with Celtics","On 2017-08-22, Cavaliers make trade with Celtics for Jae Crowder, and in exhchange give Kyrie Irving to them."
"2017-08-22","Ante Zizic","Kyrie Irving","Cavaliers","trade with Celtics","On 2017-08-22, Cavaliers make trade with Celtics for Ante Zizic, and in exhchange give Kyrie Irving to them."
"2017-08-22","2018 pick (#8-Collin Sexton)","Kyrie Irving","Cavaliers","trade with Celtics","On 2017-08-22, Cavaliers make trade with Celtics for 2018 pick (#8-Collin Sexton), and in exhchange give Kyrie Irving to them."
"2017-09-01","Quincy Pondexter","rights to Ater Majok","Bulls","trade with Pelicans","On 2017-09-01, Bulls make trade with Pelicans for Quincy Pondexter, and in exhchange give rights to Ater Majok to them."
"2017-09-01","2018 pick (#51-Tony Carr)","rights to Ater Majok","Bulls","trade with Pelicans","On 2017-09-01, Bulls make trade with Pelicans for 2018 pick (#51-Tony Carr), and in exhchange give rights to Ater Majok to them."
"2017-09-01","cash","rights to Ater Majok","Bulls","trade with Pelicans","On 2017-09-01, Bulls make trade with Pelicans for cash, and in exhchange give rights to Ater Majok to them."
"2017-09-25","Doug McDermott","Carmelo Anthony","Knicks","trade with Thunder","On 2017-09-25, Knicks make trade with Thunder for Doug McDermott, and in exhchange give Carmelo Anthony to them."
"2017-09-25","Enes Kanter","Carmelo Anthony","Knicks","trade with Thunder","On 2017-09-25, Knicks make trade with Thunder for Enes Kanter, and in exhchange give Carmelo Anthony to them."
"2017-09-25","2018 pick (#36-Mitchell Robinson)","Carmelo Anthony","Knicks","trade with Thunder","On 2017-09-25, Knicks make trade with Thunder for 2018 pick (#36-Mitchell Robinson), and in exhchange give Carmelo Anthony to them."
"2017-10-14","rights to Sergiy Gladyr / Sergey Gladyr","Richard Jefferson","Cavaliers","trade with Hawks","On 2017-10-14, Cavaliers make trade with Hawks for rights to Sergiy Gladyr / Sergey Gladyr, and in exhchange give Richard Jefferson to them."
"2017-10-14","rights to Sergiy Gladyr / Sergey Gladyr","Kahlil Felder / Kay Felder","Cavaliers","trade with Hawks","On 2017-10-14, Cavaliers make trade with Hawks for rights to Sergiy Gladyr / Sergey Gladyr, and in exhchange give Kahlil Felder / Kay Felder to them."
"2017-10-14","rights to Sergiy Gladyr / Sergey Gladyr","cash","Cavaliers","trade with Hawks","On 2017-10-14, Cavaliers make trade with Hawks for rights to Sergiy Gladyr / Sergey Gladyr, and in exhchange give cash to them."
"2017-10-14","rights to Dimitrios Agravanis","Richard Jefferson","Cavaliers","trade with Hawks","On 2017-10-14, Cavaliers make trade with Hawks for rights to Dimitrios Agravanis, and in exhchange give Richard Jefferson to them."
"2017-10-14","rights to Dimitrios Agravanis","Kahlil Felder / Kay Felder","Cavaliers","trade with Hawks","On 2017-10-14, Cavaliers make trade with Hawks for rights to Dimitrios Agravanis, and in exhchange give Kahlil Felder / Kay Felder to them."
"2017-10-14","rights to Dimitrios Agravanis","cash","Cavaliers","trade with Hawks","On 2017-10-14, Cavaliers make trade with Hawks for rights to Dimitrios Agravanis, and in exhchange give cash to them."
"2017-11-07","Eric Bledsoe","Greg Monroe","Bucks","trade with Suns","On 2017-11-07, Bucks make trade with Suns for Eric Bledsoe, and in exhchange give Greg Monroe to them."
"2017-12-07","Trevor Booker","Jahlil Okafor","76ers","trade with Nets","On 2017-12-07, 76ers make trade with Nets for Trevor Booker, and in exhchange give Jahlil Okafor to them."
"2017-12-07","Trevor Booker","Nik Stauskas","76ers","trade with Nets","On 2017-12-07, 76ers make trade with Nets for Trevor Booker, and in exhchange give Nik Stauskas to them."
"2018-01-29","Tobias Harris","Blake Griffin","Clippers","trade with Pistons","On 2018-01-29, Clippers make trade with Pistons for Tobias Harris, and in exhchange give Blake Griffin to them."
"2018-01-29","Tobias Harris","Brice Johnson","Clippers","trade with Pistons","On 2018-01-29, Clippers make trade with Pistons for Tobias Harris, and in exhchange give Brice Johnson to them."
"2018-01-29","Tobias Harris","Willie Reed","Clippers","trade with Pistons","On 2018-01-29, Clippers make trade with Pistons for Tobias Harris, and in exhchange give Willie Reed to them."
"2018-01-29","Avery Bradley","Blake Griffin","Clippers","trade with Pistons","On 2018-01-29, Clippers make trade with Pistons for Avery Bradley, and in exhchange give Blake Griffin to them."
"2018-01-29","Avery Bradley","Brice Johnson","Clippers","trade with Pistons","On 2018-01-29, Clippers make trade with Pistons for Avery Bradley, and in exhchange give Brice Johnson to them."
"2018-01-29","Avery Bradley","Willie Reed","Clippers","trade with Pistons","On 2018-01-29, Clippers make trade with Pistons for Avery Bradley, and in exhchange give Willie Reed to them."
"2018-01-29","Boban Marjanovic","Blake Griffin","Clippers","trade with Pistons","On 2018-01-29, Clippers make trade with Pistons for Boban Marjanovic, and in exhchange give Blake Griffin to them."
"2018-01-29","Boban Marjanovic","Brice Johnson","Clippers","trade with Pistons","On 2018-01-29, Clippers make trade with Pistons for Boban Marjanovic, and in exhchange give Brice Johnson to them."
"2018-01-29","Boban Marjanovic","Willie Reed","Clippers","trade with Pistons","On 2018-01-29, Clippers make trade with Pistons for Boban Marjanovic, and in exhchange give Willie Reed to them."
"2018-02-01","Omer Asik","Nikola Mirotic","Bulls","trade with Pelicans","On 2018-02-01, Bulls make trade with Pelicans for Omer Asik, and in exhchange give Nikola Mirotic to them."
"2018-02-01","Omer Asik","2018 pick (#51-Tony Carr)","Bulls","trade with Pelicans","On 2018-02-01, Bulls make trade with Pelicans for Omer Asik, and in exhchange give 2018 pick (#51-Tony Carr) to them."
"2018-02-01","Tony Allen","Nikola Mirotic","Bulls","trade with Pelicans","On 2018-02-01, Bulls make trade with Pelicans for Tony Allen, and in exhchange give Nikola Mirotic to them."
"2018-02-01","Tony Allen","2018 pick (#51-Tony Carr)","Bulls","trade with Pelicans","On 2018-02-01, Bulls make trade with Pelicans for Tony Allen, and in exhchange give 2018 pick (#51-Tony Carr) to them."
"2018-02-01","Jameer Nelson","Nikola Mirotic","Bulls","trade with Pelicans","On 2018-02-01, Bulls make trade with Pelicans for Jameer Nelson, and in exhchange give Nikola Mirotic to them."
"2018-02-01","Jameer Nelson","2018 pick (#51-Tony Carr)","Bulls","trade with Pelicans","On 2018-02-01, Bulls make trade with Pelicans for Jameer Nelson, and in exhchange give 2018 pick (#51-Tony Carr) to them."
"2018-02-05","Tyler Zeller","Rashad Vaughn","Bucks","trade with Nets","On 2018-02-05, Bucks make trade with Nets for Tyler Zeller, and in exhchange give Rashad Vaughn to them."
"2018-02-07","Guillermo Hernangomez / Willy Hernangomez","Johnny O'Bryant III","Hornets","trade with Knicks","On 2018-02-07, Hornets make trade with Knicks for Guillermo Hernangomez / Willy Hernangomez, and in exhchange give Johnny O'Bryant III to them."
"2018-02-08","rights to Milovan Rakovic","Noah Vonleh","Blazers","trade with Bulls","On 2018-02-08, Blazers make trade with Bulls for rights to Milovan Rakovic, and in exhchange give Noah Vonleh to them."
"2018-02-08","rights to Milovan Rakovic","cash","Blazers","trade with Bulls","On 2018-02-08, Blazers make trade with Bulls for rights to Milovan Rakovic, and in exhchange give cash to them."
