"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"DeAndre Jordanfree agency","2018-07-06","DeAndre Jordan","free agency","Mavericks","signed unrestricted free agent to a 1-year, $22.9M contract","On 2018-07-06, DeAndre Jordan is signed unrestricted free agent to a 1-year, $22.9M contract by Mavericks",FALSE,FALSE,NA
"Alex Poythressfree agency","2018-07-06","free agency","Alex Poythress","Pacers","waived","On 2018-07-06, Alex Poythress becomes a free agent from Pacers",FALSE,FALSE,NA
"Doug McDermottfree agency","2018-07-06","Doug McDermott","free agency","Pacers","signed unrestricted free agent to a 3-year, $22M contract","On 2018-07-06, Doug McDermott is signed unrestricted free agent to a 3-year, $22M contract by Pacers",FALSE,FALSE,NA
"free agencyTyreke Evans","2018-07-06","Tyreke Evans","free agency","Pacers","signed unrestricted free agent to a 1-year, $12.4M contract","On 2018-07-06, Tyreke Evans is signed unrestricted free agent to a 1-year, $12.4M contract by Pacers",FALSE,FALSE,NA
"free agencyMichael Carter-Williams","2018-07-06","Michael Carter-Williams","free agency","Rockets","signed unrestricted free agent to a 1-year, $1.8M contract","On 2018-07-06, Michael Carter-Williams is signed unrestricted free agent to a 1-year, $1.8M contract by Rockets",FALSE,FALSE,NA
"free agencyTrevor Ariza","2018-07-06","Trevor Ariza","free agency","Suns","signed unrestricted free agent to a 1-year, $15M contract","On 2018-07-06, Trevor Ariza is signed unrestricted free agent to a 1-year, $15M contract by Suns",FALSE,FALSE,NA
"Deonte Burtonfree agency","2018-07-06","Deonte Burton","free agency","Thunder","signed free agent to a two way contract","On 2018-07-06, Deonte Burton is signed free agent to a two way contract by Thunder",FALSE,FALSE,"Thunder"
"DeMarcus Cousinsfree agency","2018-07-06","DeMarcus Cousins","free agency","Warriors","signed unrestricted free agent to a 1-year, $5.3M contract","On 2018-07-06, DeMarcus Cousins is signed unrestricted free agent to a 1-year, $5.3M contract by Warriors",FALSE,FALSE,NA
"cashHamidou Diallo","2018-07-06","cash","Hamidou Diallo","Hornets","trade with Thunder","On 2018-07-06, Hornets make trade with Thunder for cash, and in exhchange give rights to Hamidou Diallo to them.",FALSE,TRUE,"Hornets, Thunder"
"free agencyNerlens Noel","2018-07-06","Nerlens Noel","free agency","Thunder","signed unrestricted free agent to a 2-year, $3.75M contract (second year is player option)","On 2018-07-06, Nerlens Noel is signed unrestricted free agent to a 2-year, $3.75M contract (second year is player option) by Thunder",FALSE,FALSE,NA
"cashIsaac Bonga","2018-07-06","cash","Isaac Bonga","76ers","trade with Lakers","On 2018-07-06, 76ers make trade with Lakers for cash, and in exhchange give rights to Isaac Bonga to them.",FALSE,TRUE,"76ers, Lakers"
"Dwight HowardTimofey Mozgov","2018-07-06","Timofey Mozgov","Dwight Howard","Hornets","trade with Nets","On 2018-07-06, Hornets make trade with Nets for Timofey Mozgov, and in exhchange give Dwight Howard to them.",FALSE,FALSE,"Hornets, Nets"
"Dwight HowardHamidou Diallo","2018-07-06","Hamidou Diallo","Dwight Howard","Hornets","trade with Nets","On 2018-07-06, Hornets make trade with Nets for rights to Hamidou Diallo, and in exhchange give Dwight Howard to them.",FALSE,TRUE,"Hornets, Nets"
"cashDwight Howard","2018-07-06","cash","Dwight Howard","Hornets","trade with Nets","On 2018-07-06, Hornets make trade with Nets for cash, and in exhchange give Dwight Howard to them.",FALSE,FALSE,"Hornets, Nets"
"Jerian GrantJulyan Stone","2018-07-07","Julyan Stone","Jerian Grant","Bulls","3-team trade with Hornets, Magic","On 2018-07-07, Bulls make 3-team trade with Hornets, Magic for Julyan Stone, and in exhchange give Jerian Grant to them.",FALSE,FALSE,"On 2018-07-07, Bulls make 3-team trade with Hornets, Magic for Julyan Stone, and in exhchange give Jerian Grant to them."
"Bismack BiyomboTimofey Mozgov","2018-07-07","Bismack Biyombo","Timofey Mozgov","Hornets","3-team trade with Bulls, Magic","On 2018-07-07, Hornets make 3-team trade with Bulls, Magic for Bismack Biyombo, and in exhchange give Timofey Mozgov to them.",FALSE,FALSE,"On 2018-07-07, Hornets make 3-team trade with Bulls, Magic for Bismack Biyombo, and in exhchange give Timofey Mozgov to them."
"Bismack BiyomboJulyan Stone","2018-07-07","Bismack Biyombo","Julyan Stone","Hornets","3-team trade with Bulls, Magic","On 2018-07-07, Hornets make 3-team trade with Bulls, Magic for Bismack Biyombo, and in exhchange give Julyan Stone to them.",FALSE,FALSE,"On 2018-07-07, Hornets make 3-team trade with Bulls, Magic for Bismack Biyombo, and in exhchange give Julyan Stone to them."
"free agencyJonas Jerebko","2018-07-07","free agency","Jonas Jerebko","Jazz","waived","On 2018-07-07, Jonas Jerebko becomes a free agent from Jazz",FALSE,FALSE,NA
"Bismack BiyomboJerian Grant","2018-07-07","Jerian Grant","Bismack Biyombo","Magic","3-team trade with Bulls, Hornets","On 2018-07-07, Magic make 3-team trade with Bulls, Hornets for Jerian Grant, and in exhchange give Bismack Biyombo to them.",FALSE,FALSE,"On 2018-07-07, Magic make 3-team trade with Bulls, Hornets for Jerian Grant, and in exhchange give Bismack Biyombo to them."
"Dwight Howardfree agency","2018-07-07","free agency","Dwight Howard","Nets","waived (team bought out contract)","On 2018-07-07, Dwight Howard becomes a free agent from Nets",FALSE,FALSE,NA
"Dwight Buycksfree agency","2018-07-07","free agency","Dwight Buycks","Pistons","waived","On 2018-07-07, Dwight Buycks becomes a free agent from Pistons",FALSE,FALSE,NA
"free agencyGlenn Robinson III","2018-07-07","Glenn Robinson III","free agency","Pistons","signed unrestricted free agent to a 1-year, $4.1M contract with a 1-year team option","On 2018-07-07, Glenn Robinson III is signed unrestricted free agent to a 1-year, $4.1M contract with a 1-year team option by Pistons",FALSE,FALSE,NA
"free agencyJose Calderon","2018-07-07","Jose Calderon","free agency","Pistons","signed unrestricted free agent to a 1-year, $2.4M contract","On 2018-07-07, Jose Calderon is signed unrestricted free agent to a 1-year, $2.4M contract by Pistons",FALSE,FALSE,NA
"Anthony Tolliverfree agency","2018-07-07","Anthony Tolliver","free agency","Timberwolves","signed unrestricted free agent to a 1-year, $5.75M contract","On 2018-07-07, Anthony Tolliver is signed unrestricted free agent to a 1-year, $5.75M contract by Timberwolves",FALSE,FALSE,NA
"Elfrid Paytonfree agency","2018-07-08","Elfrid Payton","free agency","Pelicans","signed unrestricted free agent to a 1-year, $2.7M contract","On 2018-07-08, Elfrid Payton is signed unrestricted free agent to a 1-year, $2.7M contract by Pelicans",FALSE,FALSE,NA
"free agencyJulius Randle","2018-07-08","Julius Randle","free agency","Pelicans","signed unrestricted free agent to a 2-year, $17.7M contract","On 2018-07-08, Julius Randle is signed unrestricted free agent to a 2-year, $17.7M contract by Pelicans",FALSE,FALSE,NA
"Eric Morelandfree agency","2018-07-08","free agency","Eric Moreland","Pistons","waived","On 2018-07-08, Eric Moreland becomes a free agent from Pistons",FALSE,FALSE,NA
"free agencyKyle Anderson","2018-07-08","Kyle Anderson","free agency","Grizzlies","signed restricted free agent to a 4-year, $37.2M contract (Spurs declined to match Grizzlies offer sheet)","On 2018-07-08, Kyle Anderson is signed restricted free agent to a 4-year, $37.2M contract (Spurs declined to match Grizzlies offer sheet) by Grizzlies",FALSE,FALSE,NA
"free agencyMike Scott","2018-07-09","Mike Scott","free agency","Clippers","signed unrestricted free agent to a 1-year, $4.32M contract","On 2018-07-09, Mike Scott is signed unrestricted free agent to a 1-year, $4.32M contract by Clippers",FALSE,FALSE,NA
"free agencyLeBron James","2018-07-09","LeBron James","free agency","Lakers","signed unrestricted free agent to a 4-year, $153.5M contract","On 2018-07-09, LeBron James is signed unrestricted free agent to a 4-year, $153.5M contract by Lakers",FALSE,FALSE,NA
"free agencyKyle O'Quinn","2018-07-09","Kyle O'Quinn","free agency","Pacers","signed unrestricted free agent to a 1-year, $4.45M contract","On 2018-07-09, Kyle O'Quinn is signed unrestricted free agent to a 1-year, $4.45M contract by Pacers",FALSE,FALSE,NA
"free agencyLuc Richard Mbah a Moute / Luc Mbah a Moute","2018-07-10","Luc Richard Mbah a Moute / Luc Mbah a Moute","free agency","Clippers","signed unrestricted free agent to a 1-year, $4.3M contract","On 2018-07-10, Luc Richard Mbah a Moute / Luc Mbah a Moute is signed unrestricted free agent to a 1-year, $4.3M contract by Clippers",FALSE,FALSE,NA
"Duncan Robinsonfree agency","2018-07-10","Duncan Robinson","free agency","Heat","signed free agent to a two way contract","On 2018-07-10, Duncan Robinson is signed free agent to a two way contract by Heat",FALSE,FALSE,"Heat"
"free agencyJaVale McGee","2018-07-10","JaVale McGee","free agency","Lakers","signed unrestricted free agent to a 1-year, $2.4M contract","On 2018-07-10, JaVale McGee is signed unrestricted free agent to a 1-year, $2.4M contract by Lakers",FALSE,FALSE,NA
"free agencyLance Stephenson","2018-07-10","Lance Stephenson","free agency","Lakers","signed unrestricted free agent to a 1-year, $4.45M contract","On 2018-07-10, Lance Stephenson is signed unrestricted free agent to a 1-year, $4.45M contract by Lakers",FALSE,FALSE,NA
"free agencyTroy Caupain","2018-07-10","Troy Caupain","free agency","Magic","signed free agent to a two way contract","On 2018-07-10, Troy Caupain is signed free agent to a two way contract by Magic",FALSE,FALSE,"Magic"
"free agencyJeff Green","2018-07-10","Jeff Green","free agency","Wizards","signed unrestricted free agent to a 1-year, $2.4M contract","On 2018-07-10, Jeff Green is signed unrestricted free agent to a 1-year, $2.4M contract by Wizards",FALSE,FALSE,NA
"free agencyJairus Lyles","2018-07-12","Jairus Lyles","free agency","Jazz","signed free agent","On 2018-07-12, Jairus Lyles is signed free agent by Jazz",FALSE,FALSE,"Jazz"
"free agencyNoah Vonleh","2018-07-13","free agency","Noah Vonleh","Bulls","waived","On 2018-07-13, Noah Vonleh becomes a free agent from Bulls",FALSE,FALSE,NA
"Jeremy LinJeremy Lin","2018-07-13","Jeremy Lin","Jeremy Lin","Hawks","trade with Nets","On 2018-07-13, Hawks make trade with Nets for Jeremy Lin, and in exhchange give Jeremy Lin to them.",FALSE,FALSE,"Hawks, Nets"
"Braian Angola-Rodasfree agency","2018-07-13","Braian Angola-Rodas","free agency","Magic","signed free agent","On 2018-07-13, Braian Angola-Rodas is signed free agent by Magic",FALSE,FALSE,"Magic"
"Isaia CordinierJeremy Lin","2018-07-13","Isaia Cordinier","Jeremy Lin","Nets","trade with Hawks","On 2018-07-13, Nets make trade with Hawks for rights to Isaia Cordinier, and in exhchange give Jeremy Lin to them.",FALSE,TRUE,"Nets, Hawks"
"free agencyZaur Pachulia / Zaza Pachulia","2018-07-13","Zaur Pachulia / Zaza Pachulia","free agency","Pistons","signed unrestricted free agent to a 1-year, $2.4M contract","On 2018-07-13, Zaur Pachulia / Zaza Pachulia is signed unrestricted free agent to a 1-year, $2.4M contract by Pistons",FALSE,FALSE,NA
"free agencyJames Ennis","2018-07-13","James Ennis","free agency","Rockets","signed unrestricted free agent to a 2-year, $3.5M contract","On 2018-07-13, James Ennis is signed unrestricted free agent to a 2-year, $3.5M contract by Rockets",FALSE,FALSE,NA
"free agencyKendrick Nunn","2018-07-13","Kendrick Nunn","free agency","Warriors","signed free agent","On 2018-07-13, Kendrick Nunn is signed free agent by Warriors",FALSE,FALSE,"Warriors"
"Darrell ArthurIsaiah Whitehead","2018-07-13","Darrell Arthur","Isaiah Whitehead","Nets","trade with Nuggets","On 2018-07-13, Nets make trade with Nuggets for Darrell Arthur, and in exhchange give Isaiah Whitehead to them.",FALSE,FALSE,"Nets, Nuggets"
"Isaiah WhiteheadKenneth Faried","2018-07-13","Kenneth Faried","Isaiah Whitehead","Nets","trade with Nuggets","On 2018-07-13, Nets make trade with Nuggets for Kenneth Faried, and in exhchange give Isaiah Whitehead to them.",FALSE,FALSE,"Nets, Nuggets"
"free agencyJulyan Stone","2018-07-14","free agency","Julyan Stone","Bulls","waived","On 2018-07-14, Julyan Stone becomes a free agent from Bulls",FALSE,FALSE,NA
"free agencyPaul Zipser","2018-07-14","free agency","Paul Zipser","Bulls","waived","On 2018-07-14, Paul Zipser becomes a free agent from Bulls",FALSE,FALSE,NA
"free agencyJabari Parker","2018-07-14","Jabari Parker","free agency","Bulls","signed unrestricted free agent to a 2-year, $40M contract (second year is team option","On 2018-07-14, Jabari Parker is signed unrestricted free agent to a 2-year, $40M contract (second year is team option by Bulls",FALSE,FALSE,NA
"free agencyKadeem Allen","2018-07-15","free agency","Kadeem Allen","Celtics","waived","On 2018-07-15, Kadeem Allen becomes a free agent from Celtics",FALSE,FALSE,NA
"free agencyKeenan Evans","2018-07-15","Keenan Evans","free agency","Pistons","signed free agent to a two way contract","On 2018-07-15, Keenan Evans is signed free agent to a two way contract by Pistons",FALSE,FALSE,"Pistons"
"free agencyIsaiah Thomas","2018-07-16","Isaiah Thomas","free agency","Nuggets","signed unrestricted free agent to a 1-year, $2M contract","On 2018-07-16, Isaiah Thomas is signed unrestricted free agent to a 1-year, $2M contract by Nuggets",FALSE,FALSE,NA
"Elijah Stewartfree agency","2018-07-16","Elijah Stewart","free agency","Pacers","signed free agent to a 1-year contract","On 2018-07-16, Elijah Stewart is signed free agent to a 1-year contract by Pacers",FALSE,FALSE,"Pacers"
"Brook Lopezfree agency","2018-07-17","Brook Lopez","free agency","Bucks","signed unrestricted free agent to a 1-year, $3.4M contract","On 2018-07-17, Brook Lopez is signed unrestricted free agent to a 1-year, $3.4M contract by Bucks",FALSE,FALSE,NA
"Ben McLemoreGarrett Temple","2018-07-17","Garrett Temple","Ben McLemore","Grizzlies","trade with Kings","On 2018-07-17, Grizzlies make trade with Kings for Garrett Temple, and in exhchange give Ben McLemore to them.",FALSE,FALSE,"Grizzlies, Kings"
"Deyonta DavisGarrett Temple","2018-07-17","Garrett Temple","Deyonta Davis","Grizzlies","trade with Kings","On 2018-07-17, Grizzlies make trade with Kings for Garrett Temple, and in exhchange give Deyonta Davis to them.",FALSE,FALSE,"Grizzlies, Kings"
