"","Date","Team","Acquired","Relinquished","Notes"
"181","2009-02-13","Heat","• Jermaine O'Neal• Jamario Moon• first round pick (originally lottery protected 2010-15, protection effectively removed when pick traded back to Raptors) (#5-Jonas Valanciunas)• 2010 conditional second round pick (if first round pick does not transfer in 2010) (#42-Da'Sean Butler)• $4.2M trade exception","• Shawn Marion• Marcus Banks• $3M cash considerations","trade with Raptors"
"182","2009-02-13","Raptors","• Shawn Marion• Marcus Banks• $3M cash considerations","• Jermaine O'Neal• Jamario Moon• first round pick (originally lottery protected 2010-15, protection effectively removed when pick traded back to Raptors) (#5-Jonas Valanciunas)• 2010 conditional second round pick (if first round pick does not transfer in 2010) (#42-Da'Sean Butler)• $4.2M trade exception","trade with Heat"
"183","2009-02-16","Clippers","• Alex Acker• 2011 second round pick (#37-Trey Thompkins)","• 2013 second round pick (protected top 55) (#56-Peyton Siva)","trade with Pistons"
"184","2009-02-16","Pistons","• 2013 second round pick (protected top 55) (#56-Peyton Siva)","• Alex Acker• 2011 second round pick (#37-Trey Thompkins)","trade with Clippers"
"185","2009-02-17","Celtics","• 2015 second round pick (top 55 protected, else extinguished) (not exercised)","• Sam Cassell• cash","trade with Kings"
"186","2009-02-17","Hornets","• Joe Smith• Chris Wilcox• rights to DeVon Hardin","• Tyson Chandler","trade with Thunder (trade later rescinded by Thunder when Chandler failed physical)"
"187","2009-02-17","Kings","• Sam Cassell• cash","• 2015 second round pick (top 55 protected, else extinguished) (not exercised)","trade with Celtics"
"188","2009-02-17","Thunder","• Tyson Chandler","• Joe Smith• Chris Wilcox• rights to DeVon Hardin","trade with Hornets (trade later rescinded by Thunder when Chandler failed physical)"
"189","2009-02-18","Bulls","• Brad Miller• John Salmons","• Andres Nocioni• Drew Gooden• Cedric Simmons• Michael Ruffin","trade with Kings"
"190","2009-02-18","Hornets","• Tyson Chandler","• Joe Smith• Chris Wilcox• rights to DeVon Hardin","earlier trade with Thunder rescinded by Thunder when Chandler failed physical"
"191","2009-02-18","Kings","• Andres Nocioni• Drew Gooden• Cedric Simmons• Michael Ruffin","• Brad Miller• John Salmons","trade with Bulls"
"192","2009-02-18","Thunder","• Joe Smith• Chris Wilcox• rights to DeVon Hardin","• Tyson Chandler","earlier trade with Hornets rescinded by Thunder when Chandler failed physical"
"193","2009-02-18","Blazers","• Michael Ruffin","• Ike Diogu• cash","trade with Kings"
"194","2009-02-18","Kings","• Ike Diogu• cash","• Michael Ruffin","trade with Blazers"
"195","2009-02-19","Bulls","• 2009 first round pick (less favorable of Nuggets, Spurs) (#26-Taj Gibson)","• Thabo Sefolosha","trade with Thunder"
"196","2009-02-19","Bulls","• Tim Thomas• Jerome James• Anthony Roberson","• Larry Hughes","trade with Knicks"
"197","2009-02-19","Celtics","• 2014 second round pick (from Kings) (top 55 protected in 2014, else extinguished) (?-?)","• Patrick O'Bryant","3-team trade with Kings, Raptors"
"198","2009-02-19","Grizzlies","• Adonal Foyle• Mike Wilks• 2009 first round pick (from Magic) (#27-DeMarre Carroll)• cash","• Kyle Lowry","3-team trade with Magic, Rockets"
"199","2009-02-19","Grizzlies","• Chris Mihm","• 2013 second round pick (protected top 55 in 2013, else extinguished) (not exercised)","trade with Lakers"
"200","2009-02-19","Kings","• Rashad McCants• Calvin Booth","• Shelden Williams• Bobby Brown","trade with Timberwolves"
"201","2009-02-19","Kings","• Will Solomon• cash considerations","• 2014 second round pick (top 55 protected in 2014, else extinguished) (?-?)","3-team trade with Celtics, Raptors"
"202","2009-02-19","Knicks","• Larry Hughes","• Tim Thomas• Jerome James• Anthony Roberson","trade with Bulls"
"203","2009-02-19","Lakers","• 2013 second round pick (protected top 55 in 2013, else extinguished) (not exercised)","• Chris Mihm","trade with Grizzlies"
"204","2009-02-19","Magic","• Rafer Alston","• Brian Cook• Adonal Foyle• Mike Wilks• 2009 first round pick (#27-DeMarre Carroll)","3-team trade with Grizzlies, Rockets"
"205","2009-02-19","Raptors","• Patrick O'Bryant","• Will Solomon• cash considerations","3-team trade with Celtics, Kings"
"206","2009-02-19","Rockets","• Brian Cook• Kyle Lowry","• Rafer Alston","3-team trade with Grizzlies, Magic"
"207","2009-02-19","Thunder","• Thabo Sefolosha","• 2009 first round pick (less favorable of Nuggets, Spurs) (#26-Taj Gibson)","trade with Bulls"
"208","2009-02-19","Timberwolves","• Shelden Williams• Bobby Brown","• Rashad McCants• Calvin Booth","trade with Kings"
"209","2009-02-19","Knicks","• Chris Wilcox","• Malik Rose• cash considerations","trade with Thunder"
"210","2009-02-19","Thunder","• Malik Rose• cash considerations","• Chris Wilcox","trade with Knicks"
"211","2009-06-09","76ers","• Jason Kapono","• Reggie Evans","trade with Raptors"
"212","2009-06-09","Raptors","• Reggie Evans","• Jason Kapono","trade with 76ers"
"213","2009-06-23","Bucks","• Bruce Bowen• Kurt Thomas• Fabricio Oberto","• Richard Jefferson","trade with Spurs"
"214","2009-06-23","Spurs","• Richard Jefferson","• Bruce Bowen• Kurt Thomas• Fabricio Oberto","trade with Bucks"
"215","2009-06-23","Bucks","• Amir Johnson","• Fabricio Oberto","trade with Pistons"
"216","2009-06-23","Pistons","• Fabricio Oberto","• Amir Johnson","trade with Bucks"
"217","2009-06-24","Blazers","• 2009 first round pick (#22-Victor Claver)","• 2009 first round pick (#24-B.J. Mullens / Byron Mullens)• 2009 second round pick (#56-Ahmad Nivins)• 2010 second round pick (less favorable of Blazers, Bulls picks) (#51-Magnum Rolle)","trade with Mavericks"
"218","2009-06-24","Mavericks","• 2009 first round pick (#24-B.J. Mullens / Byron Mullens)• 2009 second round pick (#56-Ahmad Nivins)• 2010 second round pick (less favorable of Blazers, Bulls picks) (#51-Magnum Rolle)","• 2009 first round pick (#22-Victor Claver)","trade with Blazers"
"219","2009-06-24","Timberwolves","• Etan Thomas• Darius Songaila• Oleksiy Pecherov• 2009 first round pick (#5-Ricky Rubio)","• Randy Foye• Mike Miller","trade with Wizards"
"220","2009-06-24","Wizards","• Randy Foye• Mike Miller","• Etan Thomas• Darius Songaila• Oleksiy Pecherov• 2009 first round pick (#5-Ricky Rubio)","trade with Timberwolves"
"221","2009-06-25","Cavaliers","• Shaquille O'Neal","• Ben Wallace• Aleksandar Pavlovic / Sasha Pavlovic• 2010 second round pick (protected top 40) (#60-Dwayne Collins)• $500K cash","trade with Suns"
"222","2009-06-25","Grizzlies","• Quentin Richardson• cash","• Darko Milicic","trade with Knicks"
"223","2009-06-25","Hawks","• Jamal Crawford","• Acie Law• Craig Claxton / Speedy Claxton","trade with Warriors"
"224","2009-06-25","Knicks","• Darko Milicic","• Quentin Richardson• cash","trade with Grizzlies"
"225","2009-06-25","Magic","• Vince Carter• Ryan Anderson","• Rafer Alston• Tony Battie• Courtney Lee","trade with Nets"
"226","2009-06-25","Nets","• Rafer Alston• Tony Battie• Courtney Lee","• Vince Carter• Ryan Anderson","trade with Magic"
"227","2009-06-25","Suns","• Ben Wallace• Aleksandar Pavlovic / Sasha Pavlovic• 2010 second round pick (protected top 40) (#60-Dwayne Collins)• $500K cash","• Shaquille O'Neal","trade with Cavaliers"
"228","2009-06-25","Warriors","• Acie Law• Craig Claxton / Speedy Claxton","• Jamal Crawford","trade with Hawks"
"229","2009-06-25","Knicks","• rights to Toney Douglas","• 2011 second round pick (#46-Andrew Goudelock)• cash considerations","trade with Lakers"
"230","2009-06-25","Lakers","• 2011 second round pick (#46-Andrew Goudelock)• cash considerations","• rights to Toney Douglas","trade with Knicks"
